station_id,station_name,normalized_station_name,line,latitude,longitude,source
2611,응암,응암,6,37.59859,126.915583,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2612,역촌,역촌,6,37.60605,126.922764,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2613,불광,불광,6,37.610919,126.929504,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2614,독바위,독바위,6,37.618413,126.933035,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2616,연신내,연신내,6,37.618596,126.920519,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2617,구산,구산,6,37.611223,126.917246,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2618,새절,새절,6,37.591148,126.913613,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2619,증산,증산,6,37.583989,126.909785,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2620,디지털미디어시티,디지털미디어시티,6,37.577005,126.898643,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2621,월드컵경기장,월드컵경기장,6,37.569439,126.899077,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2622,마포구청,마포구청,6,37.563535,126.903326,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2623,망원,망원,6,37.556031,126.910129,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2624,합정,합정,6,37.549033,126.913546,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2625,상수,상수,6,37.547704,126.92292,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2626,광흥창,광흥창,6,37.547464,126.931971,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2627,대흥,대흥,6,37.547732,126.942214,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2628,공덕,공덕,6,37.543592,126.951664,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2629,효창공원앞,효창공원앞,6,37.539279,126.961348,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2630,삼각지,삼각지,6,37.535563,126.973996,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2631,녹사평,녹사평,6,37.53469,126.98665,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2632,이태원,이태원,6,37.534485,126.994369,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2633,한강진,한강진,6,37.53956,127.001729,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2634,버티고개,버티고개,6,37.547933,127.006948,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2635,약수,약수,6,37.554087,127.010237,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2636,청구,청구,6,37.560221,127.013776,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2637,신당,신당,6,37.566174,127.016158,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2638,동묘앞,동묘앞,6,37.572275,127.015666,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2639,창신,창신,6,37.579772,127.015246,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2640,보문,보문,6,37.585293,127.019377,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2641,안암,안암,6,37.586261,127.02903,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2642,고려대,고려대,6,37.59034,127.03626,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2643,월곡,월곡,6,37.60192,127.041492,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2644,상월곡,상월곡,6,37.606392,127.048509,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2645,돌곶이,돌곶이,6,37.610522,127.056419,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2646,석계,석계,6,37.614937,127.065922,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2647,태릉입구,태릉입구,6,37.617319,127.074741,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2648,화랑대,화랑대,6,37.619875,127.084106,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2615,봉화산,봉화산,6,37.617293,127.091375,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2649,신내,신내,6,37.612571,127.104326,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2711,장암,장암,7,37.70015,127.053126,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2712,도봉산,도봉산,7,37.689131,127.046548,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2713,수락산,수락산,7,37.677804,127.055314,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2714,마들,마들,7,37.664985,127.057701,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2715,노원,노원,7,37.654478,127.060555,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2716,중계,중계,7,37.645052,127.064084,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2717,하계,하계,7,37.636363,127.067999,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
