adm_cd,adm_nm,x,y,source_crs,reference_year
1119062,서울특별시 영등포구 양평2동,946154.0,1949546.0,EPSG:5179,2021
1119063,서울특별시 영등포구 신길1동,948595.0,1946032.0,EPSG:5179,2021
1119065,서울특별시 영등포구 신길3동,947381.0,1945496.0,EPSG:5179,2021
1119066,서울특별시 영등포구 신길4동,948117.0,1945485.0,EPSG:5179,2021
1119067,서울특별시 영등포구 신길5동,947450.0,1944921.0,EPSG:5179,2021
1119068,서울특별시 영등포구 신길6동,948170.0,1944581.0,EPSG:5179,2021
1119069,서울특별시 영등포구 신길7동,948726.0,1945356.0,EPSG:5179,2021
1119070,서울특별시 영등포구 대림1동,947428.0,1944003.0,EPSG:5179,2021
1119071,서울특별시 영등포구 대림2동,947004.0,1943542.0,EPSG:5179,2021
1119072,서울특별시 영등포구 대림3동,946722.0,1944681.0,EPSG:5179,2021
1119073,서울특별시 영등포구 영등포본동,947787.0,1946394.0,EPSG:5179,2021
1119074,서울특별시 영등포구 영등포동,947659.0,1947092.0,EPSG:5179,2021
1119075,서울특별시 영등포구 도림동,946813.0,1945795.0,EPSG:5179,2021
1119076,서울특별시 영등포구 문래동,946198.0,1946533.0,EPSG:5179,2021
1120052,서울특별시 동작구 노량진2동,950335.0,1945879.0,EPSG:5179,2021
1120053,서울특별시 동작구 상도1동,951691.0,1944469.0,EPSG:5179,2021
1120054,서울특별시 동작구 상도2동,950692.0,1945064.0,EPSG:5179,2021
1120055,서울특별시 동작구 상도3동,949865.0,1944432.0,EPSG:5179,2021
1120056,서울특별시 동작구 상도4동,950654.0,1944391.0,EPSG:5179,2021
1120063,서울특별시 동작구 사당1동,953806.0,1942412.0,EPSG:5179,2021
1120065,서울특별시 동작구 사당3동,953223.0,1943415.0,EPSG:5179,2021
1120066,서울특별시 동작구 사당4동,953122.0,1942596.0,EPSG:5179,2021
1120067,서울특별시 동작구 사당5동,952700.0,1943076.0,EPSG:5179,2021
1120068,서울특별시 동작구 대방동,949456.0,1945442.0,EPSG:5179,2021
1120069,서울특별시 동작구 신대방1동,947856.0,1943577.0,EPSG:5179,2021
1120070,서울특별시 동작구 신대방2동,948776.0,1944080.0,EPSG:5179,2021
1120071,서울특별시 동작구 흑석동,952471.0,1945266.0,EPSG:5179,2021
1120072,서울특별시 동작구 노량진1동,951317.0,1946020.0,EPSG:5179,2021
1120073,서울특별시 동작구 사당2동,953584.0,1944354.0,EPSG:5179,2021
1121052,서울특별시 관악구 보라매동,950059.0,1943616.0,EPSG:5179,2021
1121054,서울특별시 관악구 청림동,952212.0,1943492.0,EPSG:5179,2021
1121057,서울특별시 관악구 행운동,952308.0,1942543.0,EPSG:5179,2021
1121058,서울특별시 관악구 낙성대동,952230.0,1941081.0,EPSG:5179,2021
1121061,서울특별시 관악구 중앙동,951380.0,1943007.0,EPSG:5179,2021
1121062,서울특별시 관악구 인헌동,952920.0,1941288.0,EPSG:5179,2021
1121063,서울특별시 관악구 남현동,953823.0,1940672.0,EPSG:5179,2021
1121064,서울특별시 관악구 서원동,949915.0,1942727.0,EPSG:5179,2021
1121065,서울특별시 관악구 신원동,949322.0,1942379.0,EPSG:5179,2021
1121066,서울특별시 관악구 서림동,950618.0,1941756.0,EPSG:5179,2021
1121068,서울특별시 관악구 신사동,948605.0,1943109.0,EPSG:5179,2021
1121069,서울특별시 관악구 신림동,949466.0,1943300.0,EPSG:5179,2021
1121071,서울특별시 관악구 난향동,948569.0,1940425.0,EPSG:5179,2021
1121072,서울특별시 관악구 조원동,947604.0,1942882.0,EPSG:5179,2021
1121073,서울특별시 관악구 대학동,951229.0,1939426.0,EPSG:5179,2021
1121078,서울특별시 관악구 은천동,950683.0,1943237.0,EPSG:5179,2021
